Cuenta de Pérdidas y Ganancias;AÑO 2025;AÑO 2024
;;
      1. Importe neto de la cifra de negocios;;
          7050    PRESTACIONES DE SERVICIOS;;
      4. Aprovisionamientos;;
          6020    COMPRAS DE OTROS APROVISIONAMI;;
          6070    TRABAJOS REALIZADOS POR OTRAS;;
      7. Otros gastos de explotación;;
          6210    ARRENDAMIENTOS Y CÁNONES;;
          6220    REPARACIONES Y CONSERVACIÓN;;
          6230    SERVICIOS PROFESIONALES INDEP.;;
          6230    SERVICIOS ASESORIA CONTABLE;;
          6250    PRIMAS DE SEGUROS;;
          6260    SERVICIOS BANCARIOS Y SIMILARE;;
          6270    PUBLICID., PROPAGANDA Y RR.PP.;;
          6280    SUMINISTROS;;
          6290    OTROS SERVICIOS;;
          6310    OTROS TRIBUTOS;;
      8. Amortización de inmovilizado;;
          6816    DOT. AMORT. MOBILIARIO;;
          6817    DOT. AMORT. EQ. ELEC. E INF.;;
          6818    DOT.AMORT. DE ELEM. TRANSP.;;
      11. Deterioro y resultado por enajenación de inmo.;;
          7710    B PROCEDENTES INMOV. MATERIAL;;
      13. Otros resultados;;
          6780    GASTOS EXCEPCIONALES;;
 A) RESULTADO DE EXPLOTACIÓN;;
      15. Gastos financieros;;
          6620    INTERESES DE DEUDAS, EMPRESAS;;
 B) RESULTADO FINANCIERO;;
 C) RESULTADO ANTES DE IMPUESTOS;;
Impuesto sobre sociedades;;
 D) RESULTADO DEL EJERCICIO;;
